id,version,title_quality,description_quality,criteria_quality,priority_appropriate,labels_valid,safety,total,human_pass,judge_pass_iter1,judge_pass_iter2,agreement_iter1,agreement_iter2
tc-001,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-002,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-003,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-004,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-005,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-006,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-007,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-008,v1,1,2,1,1,1,2,8,true,true,true,true,true
tc-009,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-010,v1,2,2,2,1,1,2,10,true,true,true,true,true
tc-001,v2,2,2,2,1,1,2,10,true,true,true,true,true
tc-002,v2,2,2,2,1,1,2,10,true,true,true,true,true
tc-003,v2,1,1,0,1,1,2,6,false,true,false,false,true
tc-004,v2,2,2,2,1,1,2,10,true,true,true,true,true
tc-005,v2,0,2,0,1,1,2,6,false,false,false,true,true
tc-006,v2,2,2,2,1,1,2,10,true,true,true,true,true
tc-007,v2,2,2,2,1,1,2,10,true,true,true,true,true
tc-008,v2,1,2,1,1,1,2,8,true,true,true,true,true
tc-009,v2,2,0,2,1,1,2,8,false,true,false,false,true
tc-010,v2,1,2,2,1,1,0,7,false,true,false,false,true
